name,party,speech
"
Johannes Arlt",SPD,"Schönen guten Morgen, Frau Präsidentin! Liebe Kol-
leginnen und Kollegen! Sehr geehrter Herr Minister! Frau 
Wehrbeauftragte! Meine Damen und Herren! Wollte man das Wort „Zeitenwende“ mit all seinen Facetten in einem 
Begriff zusammenfassen, dann wäre dieser Begriff „Ver -
antwortungsübernahme“. Mit der Zeitenwende überneh-
men wir Verantwortung für drei Dinge: Erstens überneh-men wir Verantwortung für unsere Sicherheit in Europa, 
zweitens übernehmen wir Verantwortung für eine ein-
satzbereite Bundeswehr, und drittens übernehmen wir Verantwortung für unsere Veteraninnen und Veteranen.

Das Artikelgesetz „Zeitenwende“ ist das Leuchtturm-
projekt schlechthin für unsere Zeitenwende. Ich danke dem Bundesminister der Verteidigung sehr für sein En-gagement in dieser Sache. Zugleich danke ich der Oppo-
sition für die konstruktive Zusammenarbeit. Auch das ist 
eine wichtige Form der parlamentarischen Verantwor-tung. Wir haben die parlamentarische Initiative der Union 
zur Einführung eines Veteranentages aufgenommen, ha-
ben gerungen und verhandelt und haben eine demokrati-sche Mehrheit gefunden. Es soll also niemand sagen, wir 
würden Initiativen der Opposition nicht ernst nehmen.

Mit dem Artikelgesetz übernehmen wir als größtes 
europäisches Land mehr Verantwortung für unsere euro-päische Sicherheit. Mit der Stationierung der Panzerbri-
gade 45 in Litauen sorgen wir für eine glaubhafte Ab-schreckung – eine Abschreckung, die wir nicht wollten. 
Die Verantwortungsübernahme ist aber auch deswegen so 
wichtig, weil sich die USA auf den pazifischen Raum konzentrieren werden. Daher müssen wir als europäische 
NATO-Staaten mehr Verantwortung tragen, uns selbst zu 
verteidigen. Wir sind dazu bereit, und ich bin überzeugt, wir werden das können."
"
Kerstin Vieregge",CDU/CSU,"Sehr geehrte Frau Präsidentin! Sehr geehrter Herr Mi-
nister! Sehr geehrte Frau Wehrbeauftragte! Sehr geehrte 
Damen und Herren! Die CDU/CSU-Fraktion hat in den 
vergangenen Wochen und Monaten mit großem Engage-ment und voller Überzeugung an der Ausgestaltung des 
Artikelgesetzes „Zeitenwende“ mitgewirkt. Unsere Mit-
wirkung an diesem Gesetz zeigt nicht nur, dass wir unsere staatspolitische Verantwortung in diesen unsicheren Zei-ten ernst nehmen – wir setzen sie auch konsequent in die 
Tat um. Denn wir stehen an der Seite derjenigen, die 
unser Land schützen und bereit sind, für unsere Freiheit und Sicherheit große Opfer zu bringen.
Ein zentraler Fokus unserer Verhandlungen lag auf der 
Verbesserung der Versorgung für schwer verwundete Sol-datinnen und Soldaten, unabhängig von ihrer Status-
gruppe zum Zeitpunkt ihrer Verwundung. Besonders 
wichtig war uns dabei die Gerechtigkeit innerhalb der Gruppe der Berufssoldaten. Künftig haben alle schwer verwundeten Berufssoldaten im Falle einer Dienstunfä -
higkeit Anspruch auf das Unfallruhegehalt oder das er-höhte Unfallruhegehalt, unabhängig davon, ob ihre Ver-wundung im Status eines Soldaten auf Zeit oder als 
Berufssoldat erfolgte. Diese Änderung gilt auch für be-
reits ausgeschiedene Berufssoldaten und ist ein Meilen-stein in der Versorgungssystematik der Bundeswehr. Für 
viele ehemalige schwer verwundete Soldaten bedeutet 
dies nicht nur eine dringend benötigte finanzielle Entlas-tung, es ist vor allem die längt überfällige Anerkennung ihres aufopferungsvollen Dienstes für unser Land.

Und doch müssen wir ehrlich sein. Die vollständige 
Angleichung der Versorgungsansprüche zwischen Sol-
daten auf Zeit und Berufssoldaten nach dem Erleiden 
einer Wehrdienstbeschädigung konnte in diesem Gesetz nicht erreicht werden. Aber wir haben auch hier Fort -
schritte erzielt. Die Erhöhung der Grundbeträge der Aus-
gleichszahlung auf 50 000 Euro plus 7 500 Euro für jedes 
vollendete Dienstjahr vor dem Dienstunfall ist ein bedeu-tender Schritt nach vorn. Insbesondere für jene, die in den 
ersten Jahren ihrer Dienstzeit verwundet wurden, bedeu-
tet die Anhebung des Grundbetrags um 20 000 Euro eine spürbare Verbesserung. Doch eines ist klar: Das kann nur 
ein Zwischenschritt sein. Die Überarbeitung des Status 
„Soldat auf Zeit“ bleibt bei uns eine Priorität, und wir werden in der kommenden Legislaturperiode weiter da -
ran arbeiten.
Ein weiterer wichtiger Schritt ist die Streichung der 
Einschränkung bei einer sehr gefährlichen Diensthand-lung aus der Regelung zur einmaligen Unfallentschädi-
gung. Diese Änderung, die wir als Union angestoßen 
haben, reduziert unnötige Bürokratie, verhindert lang-wierige Klagen und sorgt dafür, dass unsere Soldaten 
im Ernstfall die Unterstützung erhalten, die sie verdienen.

Besonders stolz sind wir auf die Abschaffung der Hin-
zuverdienstgrenzen für pensionierte Berufssoldaten. Was über Jahre hinweg als unüberwindbares Hindernis galt, 
haben wir endlich gelöst. Mit Inkrafttreten des Gesetzes fallen die Hinzuverdienstgrenzen weitestgehend weg. Das ist ein längst überfälliger Schritt, der sowohl die 
Attraktivität des Berufssoldatenstatus erhöht als auch 
den Arbeitskräftemangel adressiert.
Auch die finanzielle Wertschätzung unserer aktiven 
Soldaten wurde im Vergleich zum Regierungsentwurf verbessert. Die Konkurrenzregelung zwischen der Alar-
mierungsvergütung und dem Ausnahmetatbestands-
zuschlag wird endlich aufgehoben. Das bedeutet: Wer 
jederzeit einsatzbereit sein muss, wird für diese enorme Belastung auch angemessen entlohnt.
Meine Damen und Herren, an dieser Stelle möchte ich 
mich ausdrücklich beim Deutschen BundeswehrVerband und beim Bund Deutscher EinsatzVeteranen und natür-
lich auch bei den Vertreterinnen und Vertretern der de-
mokratischen Parteien bedanken, mit denen wir gemein-
sam an diesem Gesetz gearbeitet haben. Wir haben parteiübergreifend an einem Strang gezogen – für dieje-
nigen, die tagtäglich für unsere Sicherheit einstehen. Die-
ses Gesetz ist ein Erfolg des Parlaments, ein Erfolg, auf den wir alle stolz sein können."
"

Alexander Müller",FDP,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und 
Kollegen! Der Kollege Lindner hat es gerade angespro-
chen: Wir werden hier heute im Rahmen der Abstimmung auch über das Ukrainepaket mit einem Volumen von 
3 Milliarden Euro, ein Ukrainehilfspaket, entscheiden. 
Ich bin der Union dankbar, dass sie es mit uns auf den Weg bringt. Ich bin aber besonders den Sozialdemokraten 
und den Grünen dankbar, dass sie durch ihre Enthaltung 
dieses Paket möglich machen. Ich will ausdrücklich sa -
gen, dass ich sehr dankbar dafür bin, weil es ein wichtiges Signal ist.
Was aus meiner Sicht ein schwieriges Signal ist, ist die 
Haltung von Olaf Scholz dazu. Olaf Scholz war dieses 3- Milliarden-Euro-Paket einmal sehr, sehr wichtig. Im No -
vember letzten Jahres war es ihm so wichtig, dass er den damaligen Bundesfinanzminister entlassen hat. Er hatte ihm die Pistole auf die Brust gesetzt und wollte von ihm 
ultimativ, dass er eine Notlage erklärt, um dieses Ukrai-
nepaket auf den Weg zu bringen. So wichtig war es Olaf Scholz im November. Und jetzt? Seit drei Wochen hören 
wir, dass Olaf Scholz auf einmal der Meinung ist, dieses 
Ukrainepaket sei gar nicht mehr notwendig. Ich frage mich: In welcher Realität lebt er? Jeden Tag sehen wir 
die Attacken der Russen auf die Ukraine: mit Flugkör -
pern, mit Drohnen, Angriffe auf zivile Infrastruktur, auf 
die Energieversorgung. In diesem Paket sind im Wesent-lichen Flugabwehrsysteme wie IRIS-T und Patriot drin, 
die die Ukraine dringend braucht. Ich frage mich: Was 
reitet Olaf Scholz, dass er auf einmal seine Meinung geändert hat?

Es wirkt ein Stück weit so, als würde Olaf Scholz die Argumentation von Sahra Wagenknecht komplett über-nehmen – aus wahltaktischen Gründen.
(Jörg Nürnberger [SPD]: Oh! Oh!)
Ich finde das der Ukraine gegenüber unverantwortlich. Wir haben es gerade gehört: Die Meinung des Außen-
ministeriums ist ganz klar: Dieses Paket braucht es. Ich 
kann Olaf Scholz nur raten, mit seinem Verteidigungs-minister zu sprechen. Auch er ist mit Sicherheit davon 
überzeugt, dass es dieses Paket braucht. Der Appell geht 
ganz klar an Olaf Scholz: Machen Sie den Weg frei für dieses 3-Milliarden-Euro-Paket!

Nun hat der Haushaltsausschuss am Mittwoch mehr-
heitlich dieses Paket schon beschlossen. In Medien-berichten liest man jetzt, dass der neue Bundesfinanz-minister Jörg Kukies diese Gelder offensichtlich 
blockieren will oder auf jeden Fall einfrieren oder nicht 
herausrücken will. Das finde ich schon bemerkenswert im Umgang mit dem Souverän. Ich wollte mich selbst 
davon überzeugen, ob das stimmt. Dafür war ich heute 
Morgen auf der Webseite des Bundesfinanzministeriums. Das Erste, was man da gefragt wird, ist, ob man Cookies akzeptiert.
(Heiterkeit und Beifall bei der FDP sowie bei 
Abgeordneten der CDU/CSU)"
"
Hannes Gnauck",AfD,"Frau Präsidentin! Meine Damen und Herren! Deutsch-
land befindet sich in einer sicherheitspolitischen Krise, 
die wahrlich nicht über Nacht entstanden ist. Jahrzehnte-lang haben linke Ideologen und die selbsternannte politi-
sche Mitte unsere Bundeswehr ausgeblutet, kaputtgespart 
und sehenden Auges ihre Abhängigkeit von den amerika-nischen Partnern zementiert."
"
Marja-Liisa Völlers",SPD,"Sehr geehrte Frau Präsidentin! Liebe Frau Wehrbeauf-
tragte! Herr Minister Pistorius! Meine Kolleginnen und Kollegen! Wir als SPD-Bundestagsfraktion setzen uns auch in den letzten Wochen dieser Legislaturperiode wei -
terhin für die Sicherheit unseres Landes ein. Dazu be-schließen wir gleich gemeinsam und fraktionsübergrei-fend mehrere Gesetze, unter anderem auch das Gesetz über die Strafbarkeit der Ausübung von Tätigkeiten für 
fremde Mächte. Dies ist ein Baustein, um unsere Sicher-
heit besser zu gewährleisten.
Um was geht es dabei? In der Vergangenheit gab es 
Presseberichte zu möglichen Fällen, in denen ehemalige Mitglieder der Bundeswehr von ausländischen, nicht-al-
liierten Staaten durch verlockende finanzielle Angebote 
angeworben wurden. Diese Entwicklungen sind nicht nur 
besorgniserregend, sie stellen auch eine Bedrohung für unsere nationale Sicherheit dar. Denn bei solchen Tätig -
keiten kann eine Weitergabe von militärischem Fachwis-
sen und vertraulichen Informationen nicht ausgeschlos-
sen werden. Dass allein die Möglichkeit von Informations- und Fähigkeitsweitergabe eine Gefahr für 
uns alle darstellt, dürfte in diesem Hohen Hause eigent-
lich von niemandem infrage gestellt werden.Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                 27496 
(A) 
(B) (C) 
(D) Präsidentin Bärbel Bas 
Deshalb ist es notwendig, dass wir die bestehenden 
Regelungen anpassen. Der vorliegende Gesetzentwurf 
sieht vor, dass künftig alle ehemaligen Soldatinnen und Soldaten, die für eine fremde Macht tätig werden wollen, 
diese Absicht melden müssen und eben auch eine Geneh-
migung dafür einholen müssen. Eine ungenehmigte Tä-
tigkeit von ehemaligen Zeit- und Berufssoldaten der Bun-
deswehr für fremde Mächte kann zukünftig mit einer 
Freiheitsstrafe von bis zu drei Jahren oder mit Geldstrafe geahndet werden."
"

Florian Hahn",CDU/CSU,"Vielen Dank. – Frau Präsidentin! Sehr geehrte Kolle-
ginnen und Kollegen! Die Brigade Litauen ist ein wich-tiges militärisches und ein wichtiges politisches Signal an unsere Bündnispartner, wie Staatsminister Lindner rich-
tig zum Ausdruck gebracht hat. Ich möchte mich bei ihm 
an dieser Stelle noch mal persönlich für die gute Zusam-menarbeit über viele Jahre herzlich bedanken und ihm für seine Zukunft alles Gute wünschen.
Die Brigade Litauen ist aber auch ein wichtiges und 
richtiges Signal an Putin, nämlich das Signal, dass wir entschlossen sind, gemeinsam unseren Bündnisverpflich -
tungen nachzukommen und das Bündnisgebiet zu ver-teidigen. Deswegen hatte diese Brigade auch von Anfang an unsere Unterstützung.
Über die Geschwindigkeit der Aufstellung dieser Bri-
gade kann man diskutieren. Aktuell sind, obwohl die Aufstellung bereits vor fast zwei Jahren angekündigt wurde, noch keine 5 Prozent der Soldatinnen und Sol -
daten vor Ort.
Und auch das sogenannte Artikelgesetz hat anderthalb 
Jahre gebraucht, um es in den Bundestag zu schaffen. 
Und es war auch nicht ausreichend. Der Kollege Arlt 
hat das ja beschrieben. Wir haben dann Gott sei Dank zusammen – die ehemaligen Ampelfraktionen und CDU 
und CSU gemeinsam – noch mal Hand angelegt und 
dieses Gesetz im Sinne unserer Soldatinnen und Soldaten qualitativ noch ordentlich verbessert, auch in Zusammen -
arbeit mit dem Bundeswehrverband. Dafür möchte ich 
mich auch ausdrücklich bedanken. Es ist hier tatsächlich 
viel gelungen.

Aber, sehr geehrte Damen und Herren, wir müssen der 
wachsenden Bedrohung aus dem Osten tatsächlich mehr Abschreckung entgegensetzen. Die Verschiebung von 5 000 Soldatinnen und Soldaten um 600 Kilometer nach 
Litauen allein wird die Abschreckung nicht wirklich er -
höhen, solange gleichzeitig die Mittel für die Landes- und 
Bündnisverteidigung nicht signifikant gesteigert werden. 
Schon gar nicht, wenn, um diese Brigade aufzustellen, 
um dieses Leuchtturmprojekt auf den Weg zu bringen, Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27497 
(A) 
(B) (C) 
(D) Marja-Liisa Völlers 
tatsächlich andere Bereiche der Bundeswehr, beispiels-
weise die 1. Panzerdivision, entsprechend ausgeräubert 
werden, wenn das Heer Material einfach nur umschichten muss. Ich sage mal: Dynamisches Verfügbarkeits -
management 4.0 ist das, was wir an der Stelle gerade erleben.
(Agnieszka Brugger [BÜNDNIS 90/DIE GRÜNEN]: Wer hat denn das dynamische Ver-fügbarkeitsmanagement eingeführt?)
Herr Minister, Ihr Kollege Arlt hat gesagt, die Brigade 
Litauen sei das Leuchtturmprojekt für Ihre Arbeit, sym-bolisch für Ihre Tätigkeit als Minister. Da muss ich ganz 
ehrlich sagen: Dieser Leuchtturm mag oben leuchten; 
aber am Fuße des Turms herrscht Dunkelheit. Und da möchte ich ein bisschen Licht hinbringen. Das Fun -
dament dieses Turms bröckelt nämlich. Und es bröckelt deswegen, weil wir feststellen müssen, dass seit Beginn des Krieges in der Ukraine unsere Landes- und Bündnis-
verteidigungsfähigkeit mit Blick auf die Beschaffenheit 
unserer Bundeswehr nicht besser geworden ist. Wir kön-nen alten NATO-Anforderungen aktuell nicht ausrei-chend nachkommen. Unsere Mängelliste ist lang. Die 
Bestände in den Depots unserer Bundeswehr im Bereich 
Munition sind besorgniserregend niedrig.
(Agnieszka Brugger [BÜNDNIS 90/DIE 
GRÜNEN]: Wer hat sie denn leergemacht?)
Die Kapazitäten, beispielsweise von Minensperren, 
sind nicht ausreichend. Nachbeschaffung und Zulauf mo-derner Waffensysteme, vor allem auch derer, die wir ab-
gegeben haben, sind nicht ausreichend. Flugabwehr: 
Fehlanzeige! Drohnenausrüstung der Bundeswehr: man-gelhaft. Bewaffnete Drohnen: bis heute keine einzige bewaffnete Drohne im Besitz der Bundeswehr.
(Johannes Arlt [SPD]: Das stimmt doch gar 
nicht!)
Meine Damen und Herren, das ist wirklich ein Skandal. Das zeigt, dass Sie viele schöne Worte benutzt haben in 
den letzten Monaten, aber nicht wirklich Taten haben 
folgen lassen.

Meine Damen und Herren, jetzt kann man sagen: Das 
liegt daran, dass nicht genug Geld da war. – Es stimmt, 
insgesamt ist die Bundeswehr nicht ausreichend aus-
gestattet. Dem Versprechen, das Olaf Scholz am 27. Fe-bruar 2022 gegeben hat, nicht nur das Sondervermögen 
von 100 Milliarden Euro auf den Weg zu bringen, son-
dern ab sofort auch das NATO-Ziel von 2 Prozent des BIP zu erreichen, ist nichts gefolgt. Der Verteidigungshaus-
halt ist stehen geblieben auf dem Niveau von um die 
50 Milliarden Euro, ist nicht signifikant gestiegen.
Aber man muss sich tatsächlich fragen, ob eine Stei-
gerung überhaupt geholfen hätte. Denn es ist Ihnen, Herr 
Bundesminister – das müssen Sie sich schon anhören –, 
letztes Jahr nicht gelungen, das Geld, das das Hohe Haus Ihnen für die Bundeswehr zur Verfügung gestellt hatte, 
auszugeben. Sie haben aus dem Sondervermögen fast 
3 Milliarden Euro nicht ausgegeben, und Sie haben aus dem Haushalt 1,7 Milliarden Euro nicht ausgeben kön -
nen. Dieses Geld verfällt und ist für die Bundeswehr sozusagen verloren.
Sehr geehrter Herr Bundesminister, die Bilanz Ihrer 
Schaffenskraft in den letzten Monaten und Jahren –"
"
Florian Hahn",CDU/CSU,"– ist folgende: Wir sind offensichtlich nicht kriegstüch-
tiger geworden. Sie haben offensichtlich die Beschaffung bis heute nicht in den Griff gekriegt. Und unsere Ab-schreckung ist offensichtlich nicht gewachsen. Das ist 
Ihre Bilanz.
Die Bundeswehr hat Besseres verdient, und Deutsch-
land braucht mehr Sicherheit. Deswegen brauchen wir auch hier in den nächsten Jahren einen Politikwechsel.
Herzlichen Dank."
"
Nils Gründer",FDP,"Sehr geehrte Frau Präsidentin! Sehr geehrter Herr Mi-
nister! Frau Wehrbeauftragte! Liebe Kolleginnen und 
Kollegen! Herr Hahn, AKK war leider kein Waffensys-
tem. Wir muten unseren Männern und Frauen in Uniform einiges zu, und mit der Brigade in Litauen stellen wir sie 
vor eine weitere große Herausforderung. Die Entschei-
dung haben in der Vergangenheit Kanzler und Verteidi-gungsminister getroffen: Die Bundeswehr wird eine Bri-gade in Litauen stationieren.
Jetzt geht es darum, die bestmöglichen Rahmenbedin-
gungen für unsere Soldatinnen und Soldaten zu schaffen, was wir heute mit dem Regierungsabkommen auch tun. 
Auch beim Personal besteht Handlungsbedarf. Mit dem 
Artikelgesetz „Zeitenwende“ stärken wir deshalb die Rahmenbedingungen für die Brigade in Litauen. Aber, 
liebe Kolleginnen und Kollegen, es ist eben nicht das 
Zeitenwendegesetz. Sie lassen Veränderungen nur im be -
stehenden System zu und bleiben den großen Wurf in der Zeitenwende den Soldatinnen und Soldaten weiterhin 
schuldig."
"
Falko Droßmann",SPD,"Frau Präsidentin! Sehr geehrte Frau Wehrbeauftragte! 
Liebe Kolleginnen und Kollegen! Ich bedanke mich – 
einige V orredner und V orrednerinnen haben es schon ge-
tan – bei allen Fraktionen, die hier so konstruktiv mit-
gearbeitet haben, dieses richtige Gesetz der Bundesregie-
rung zu unterstützen, weil es um die Sache geht. Es ist uns leichtgefallen, weil es ein verdammt gutes Gesetz war, das vorgelegt worden ist. Insofern vielen Dank an die 
Bundesregierung.
Lassen Sie mich aber auch noch sagen, dass ich mich 
bei allen bedanke, die sich von außerhalb beteiligt haben, die an der öffentlichen Anhörung teilgenommen haben. 
Ich bedanke mich natürlich auch beim Deutschen Bun -
deswehrVerband, der uns mit viel Papier und mit guten 
Hinweisen unterstützt hat, bei den Einsatzveteranen und 
natürlich auch beim Gesamtvertrauenspersonenaus-schuss, die hier wirklich gut mitgearbeitet haben. Herz-lichen Dank dafür.

Ich möchte allerdings noch zu einer Sache kommen, 
die etwas weniger harmonisch ist – der Kollege Müller von der FDP hat es angesprochen –: diese 3-Milliarden- Deutscher Bundestag – 20. Wahlperiode – 211. Sitzung. Berlin, Freitag, den 31. Januar 2025                                                                                                                                                                                                27499 
(A) 
(B) (C) 
(D) Dr. Gesine Lötzsch 
Frage, die Ukrainehilfe. Er hat relativ wenig zur Sache 
gesagt, sondern er hat versucht, das ein bisschen auf die 
Person Olaf Scholz runterzubrechen.
(Florian Hahn [CDU/CSU]: Das ist ja das ent-scheidende Detail, Herr Droßmann! – Weitere 
Zurufe von der CDU/CSU)"
"
Falko Droßmann",SPD,"Nein, nein. – Um das noch mal aufzuklären: Für das 
Haushaltsjahr 2025 sind 4 Milliarden Euro nur für die 
Waffenhilfe veranschlagt. Olaf Scholz selber hat vor -
geschlagen, die Waffenhilfe noch mal um 3 Milliarden Euro zu erhöhen. Und ehrlicherweise: Für wie blöd hal-ten Sie uns denn? Warum bringen Sie den Antrag denn 
hier ein? Sie wollen doch genau dieses Bild haben, weil 
Sie wissen, wie die Verhältnisse hier sind.
(Florian Hahn [CDU/CSU]: Nein, wir wollen der Ukraine helfen! – Zuruf des Abg. Karsten 
Klein [FDP])
Sie wollen ein Foto haben mit der SPD und der AfD, die 
das ablehnen. Das ist das, was Sie mit diesem Antrag erreichen wollten. Es geht Ihnen in keinem Punkt an 
irgendeiner Stelle um die Sache."
